"","competition","trial","culture_conditions","Condition","Timepoint_hr","CFU_per_mL_total","mean_CFU_per_mL","log_mean_CFU_per_mL","sem_CFU_per_mL","log_sem_CFU_per_mL","fold_change","log_fold_change","mean_fold_change","mean_log_fold_change"
"31","Mouse_Pa_Kp","trial_2","co-culture","KPPR1_191.1","T24",8e+07,646800000,8.81077001123436,538719073.358276,8.73136235202194,22.2222222222222,1.34678748622466,165.950710108605,2.21997911510912
"32","Mouse_Pa_Kp","trial_2","co-culture","KPPR1_193.1","T24",6.6e+07,489200000,8.68948644836425,281369223.619073,8.44927659223385,11.7857142857143,1.07135590853567,321.931563534505,2.50776355884422
"33","Mouse_Pa_Kp","trial_3","control","Fresh_LB","T0",3200000,3360000,6.52633927738984,401995.024844836,5.60422067821928,NA,NA,NA,NA
"34","Mouse_Pa_Kp","trial_3","spent","Self_spent_LB","T0",4e+06,4320000,6.63548374681491,440908.153700972,5.64434813029513,NA,NA,NA,NA
"35","Mouse_Pa_Kp","trial_3","spent","145.1_Spent_LB","T0",4e+06,3920000,6.59328606702046,300665.927567458,5.47808421523768,NA,NA,NA,NA
"36","Mouse_Pa_Kp","trial_3","spent","191.1_Spent_LB","T0",3600000,3760000,6.57518784492766,318747.549010185,5.50344685397395,NA,NA,NA,NA
"37","Mouse_Pa_Kp","trial_3","spent","193.1_Spent_LB","T0",3600000,3720000,6.5705429398819,520000,5.7160033436348,NA,NA,NA,NA
"38","Mouse_Pa_Kp","trial_3","co-culture","KPPR1_145.1","T0",3800000,4320000,6.63548374681491,458693.797647189,5.66152286774085,NA,NA,NA,NA
"39","Mouse_Pa_Kp","trial_3","co-culture","KPPR1_191.1","T0",3800000,3280000,6.51587384371168,392937.65408777,5.59432364799986,NA,NA,NA,NA
"40","Mouse_Pa_Kp","trial_3","co-culture","KPPR1_193.1","T0",3200000,3120000,6.49415459401844,733757.453113766,5.86555252560796,NA,NA,NA,NA
"41","Mouse_Pa_Kp","trial_3","control","Fresh_LB","T24",4e+10,3.82e+10,10.5820633629117,8968834929.91146,9.95273603096235,12500,4.09691001300806,12904.7846889952,4.1107507629162
"42","Mouse_Pa_Kp","trial_3","spent","Self_spent_LB","T24",4.8e+08,8.76e+08,8.94250410616808,333490629.553515,8.52308363558278,120,2.07918124604762,240.592592592593,2.38128225207413
"43","Mouse_Pa_Kp","trial_3","spent","145.1_Spent_LB","T24",3.4e+07,262800000,8.41962536088774,63496771.5714744,7.80275164459375,8.5,0.929418925714293,70.6055555555556,1.84883887459566
"44","Mouse_Pa_Kp","trial_3","spent","191.1_Spent_LB","T24",2400000,10440000,7.01870049866624,6430365.46395304,6.80823565635622,0.666666666666667,-0.176091259055681,2.48370927318296,0.395100758798527
"45","Mouse_Pa_Kp","trial_3","spent","193.1_Spent_LB","T24",2400000,14960000,7.17493159352844,10785063.7457551,7.03282271636929,0.666666666666667,-0.176091259055681,3.50628571428571,0.54484730225463
"46","Mouse_Pa_Kp","trial_3","co-culture","KPPR1_145.1","T24",2.2e+08,379600000,8.57932620375525,256953225.315426,8.40985407338488,57.8947368421053,1.7626390842054,79.7211538461538,1.9015735758462
"47","Mouse_Pa_Kp","trial_3","co-culture","KPPR1_191.1","T24",1.2e+08,646800000,8.81077001123436,538719073.358276,8.73136235202194,31.578947368421,1.49939764943081,165.950710108605,2.21997911510912
"48","Mouse_Pa_Kp","trial_3","co-culture","KPPR1_193.1","T24",3.4e+08,489200000,8.68948644836425,281369223.619073,8.44927659223385,106.25,2.02632893872235,321.931563534505,2.50776355884422
"49","Mouse_Pa_Kp","trial_4","control","Fresh_LB","T0",3e+06,3360000,6.52633927738984,401995.024844836,5.60422067821928,NA,NA,NA,NA
"50","Mouse_Pa_Kp","trial_4","spent","Self_spent_LB","T0",3e+06,4320000,6.63548374681491,440908.153700972,5.64434813029513,NA,NA,NA,NA
"51","Mouse_Pa_Kp","trial_4","spent","145.1_Spent_LB","T0",3200000,3920000,6.59328606702046,300665.927567458,5.47808421523768,NA,NA,NA,NA
"52","Mouse_Pa_Kp","trial_4","spent","191.1_Spent_LB","T0",3800000,3760000,6.57518784492766,318747.549010185,5.50344685397395,NA,NA,NA,NA
"53","Mouse_Pa_Kp","trial_4","spent","193.1_Spent_LB","T0",2800000,3720000,6.5705429398819,520000,5.7160033436348,NA,NA,NA,NA
"54","Mouse_Pa_Kp","trial_4","co-culture","KPPR1_145.1","T0",3800000,4320000,6.63548374681491,458693.797647189,5.66152286774085,NA,NA,NA,NA
"55","Mouse_Pa_Kp","trial_4","co-culture","KPPR1_191.1","T0",2e+06,3280000,6.51587384371168,392937.65408777,5.59432364799986,NA,NA,NA,NA
"56","Mouse_Pa_Kp","trial_4","co-culture","KPPR1_193.1","T0",2200000,3120000,6.49415459401844,733757.453113766,5.86555252560796,NA,NA,NA,NA
"57","Mouse_Pa_Kp","trial_4","control","Fresh_LB","T24",3.6e+10,3.82e+10,10.5820633629117,8968834929.91146,9.95273603096235,12000,4.07918124604763,12904.7846889952,4.1107507629162
"58","Mouse_Pa_Kp","trial_4","spent","Self_spent_LB","T24",2.2e+09,8.76e+08,8.94250410616808,333490629.553515,8.52308363558278,733.333333333333,2.86530142610254,240.592592592593,2.38128225207413
"59","Mouse_Pa_Kp","trial_4","spent","145.1_Spent_LB","T24",3.8e+08,262800000,8.41962536088774,63496771.5714744,7.80275164459375,118.75,2.0746336182969,70.6055555555556,1.84883887459566
"60","Mouse_Pa_Kp","trial_4","spent","191.1_Spent_LB","T24",3e+06,10440000,7.01870049866624,6430365.46395304,6.80823565635622,0.789473684210526,-0.102662341897148,2.48370927318296,0.395100758798527
"61","Mouse_Pa_Kp","trial_4","spent","193.1_Spent_LB","T24",3e+06,14960000,7.17493159352844,10785063.7457551,7.03282271636929,1.07142857142857,0.0299632233774431,3.50628571428571,0.54484730225463
"62","Mouse_Pa_Kp","trial_4","co-culture","KPPR1_145.1","T24",1.6e+08,379600000,8.57932620375525,256953225.315426,8.40985407338488,42.1052631578947,1.62433638603911,79.7211538461538,1.9015735758462
