Loc_ID,Pa14 gene locus,PA01 gene locus,Gene name,Gene description,z-score trial 1,z-score trial 2
PAMr_nr_mas_04_2_B12,PA14_27490,PA2829,NA,hypothetical protein,0.24472123087294456,1.1020703901473694
PAMr_nr_mas_04_2_C01,PA14_64310,PA4862,NA,putative ABC transport ATP-binding subunit,2.1071403045302346,0.619843058273317
PAMr_nr_mas_04_2_C03,PA14_73090,PA5542,NA,putative beta-lactamase,0.8994212557902096,0.02788772177294467
PAMr_nr_mas_04_2_C04,PA14_38300,PA2028,NA,putative glutamate uptake regulatory protein,1.2310144579397766,1.4333619311381416
PAMr_nr_mas_04_2_C05,PA14_32160,PA2512,antA,anthranilate dioxygenase large subunit,1.184678733355514,0.9914412431713822
PAMr_nr_mas_04_2_C08,PA14_54490,PA0758,NA,hypothetical protein,1.5256119105996875,0.8626387730681392
PAMr_nr_mas_04_2_C09,PA14_22960,PA3191,NA,putative two-component sensor,1.4609821427064433,0.26107724410255867
PAMr_nr_mas_04_2_C10,PA14_22630,PA3216,NA,putative membrane protein,0.3566693251253956,0.3257284708144332
PAMr_nr_mas_04_2_C11,PA14_34190,PA2356,msuD,FMNH2-dependent methanesulfonate sulfonatase,-0.35184023247057866,0.2067618527545287
PAMr_nr_mas_04_2_C12,PA14_71890,PA5445,NA,putative coenzyme A transferase,-0.6966414562697736,0.3726832494711882
PAMr_nr_mas_04_2_D01,PA14_24170,PA3092,PA3092,NA,-0.37083256762469413,0.6379040093361019
PAMr_nr_mas_04_2_D02,PA14_71640,PA5428,NA,"putative transcriptional regulator, LysR family",0.43952427702929153,0.17063216663164382
PAMr_nr_mas_04_2_D03,PA14_58110,PA4478,NA,putative Maf-like protein,-0.1248825974388068,0.17943838984479135
PAMr_nr_mas_04_2_D04,PA14_15600,NA,NA,NA,1.7549217528108616,1.1686376713109383
PAMr_nr_mas_04_2_D05,PA14_51570,NA,RS10,hypothetical protein,0.8667207782271406,0.26566418895196914
PAMr_nr_mas_04_2_D06,PA14_19340,PA3462,NA,putative sensor/response regulator hybrid,1.8047954552948622,0.8292160464910451
PAMr_nr_mas_04_2_D07,PA14_48760,PA1202,NA,putative hydrolase,1.761624271063564,0.5505796031758979
PAMr_nr_mas_04_2_D08,PA14_55110,PA0713,NA,hypothetical protein,1.3730755892189668,0.5403945506356154
PAMr_nr_mas_04_2_D09,PA14_12850,PA3944,NA,probable acetyltransferase,1.121372439707217,0.9834224585407016
PAMr_nr_mas_04_2_D10,PA14_69580,PA5269,NA,conserved hypothetical protein,0.2310612610317749,1.2337154532631713
PAMr_nr_mas_04_2_D11,PA14_64190,PA4853,fis,DNA-binding protein Fis,0.034285030495400576,0.6951934317387835
PAMr_nr_mas_04_2_D12,PA14_02580,PA0211,mdcD,malonate decarboxylase beta subunit,0.8319508432839288,1.2888504261789175
PAMr_nr_mas_04_2_E01,PA14_69990,PA5302,dadX,catabolic alanine racemase,-0.9433651731536193,0.2376106919184873
PAMr_nr_mas_04_2_E02,PA14_44260,PA1565,NA,putative oxidoreductase,0.5056849687677397,-0.10774583467660862
