"","competition","trial","culture_conditions","Condition","Timepoint_hr","CFU_per_mL_total","mean_CFU_per_mL","log_mean_CFU_per_mL","sem_CFU_per_mL","log_sem_CFU_per_mL","fold_change","log_fold_change","mean_fold_change","mean_log_fold_change"
"33","Phen_Ec","trial_3","spent","JV10_JV531_sp","T24",6e+08,6.6e+08,8.81954393554187,101980390.271856,8.00851666964939,120,2.07918124604762,245.97619047619,2.39089307114711
"34","Phen_Ec","trial_3","spent","JV10_JV534_sp","T24",8.8e+08,1.34e+09,9.12710479836481,621803827.585518,8.79365339106541,209.52380952381,2.32123338175227,516.692640692641,2.71323227588795
"35","Phen_Ec","trial_3","spent","JV10_JV537_sp","T24",199,199,2.29885307640971,0,-Inf,4.975e-05,-4.30320691491826,7.0915700965701e-05,-4.14925759996712
"36","Phen_Ec","trial_3","spent","JV10_JV540_sp","T24",3e+07,33200000,7.52113808370404,6053098.38016862,6.78197773249791,7.89473684210526,0.897337658102852,12.6456140350877,1.10193992229852
"37","Phen_Ec","trial_4","control","JV10_LB","T0",3800000,3120000,6.49415459401844,307245.829914744,5.48748599714903,NA,NA,NA,NA
"38","Phen_Ec","trial_4","spent","JV10_ss","T0",3600000,3200000,6.50514997831991,309838.667696593,5.49113561651978,NA,NA,NA,NA
"39","Phen_Ec","trial_4","spent","JV10_JV531_sp","T0",3200000,3080000,6.48855071650044,520000,5.7160033436348,NA,NA,NA,NA
"40","Phen_Ec","trial_4","spent","JV10_JV534_sp","T0",3200000,3200000,6.50514997831991,404969.134626332,5.60742192402385,NA,NA,NA,NA
"41","Phen_Ec","trial_4","spent","JV10_JV537_sp","T0",4200000,3040000,6.48287358360875,440000,5.64345267648619,NA,NA,NA,NA
"42","Phen_Ec","trial_4","spent","JV10_JV540_sp","T0",2800000,2920000,6.46538285144842,287054.001888146,5.45796360584856,NA,NA,NA,NA
"43","Phen_Ec","trial_4","control","JV10_LB","T24",6.4e+09,6.6e+09,9.81954393554187,687022561.492707,8.83697099931704,1684.21052631579,3.22639637736708,2132.6042378674,3.32891026789313
"44","Phen_Ec","trial_4","spent","JV10_ss","T24",5e+08,477200000,8.6787004349983,121308862.001092,8.08389252862905,138.888888888889,2.14266750356873,159.489133089133,2.20273109742328
"45","Phen_Ec","trial_4","spent","JV10_JV531_sp","T24",6.8e+08,6.6e+08,8.81954393554187,101980390.271856,8.00851666964939,212.5,2.32735893438633,245.97619047619,2.39089307114711
"46","Phen_Ec","trial_4","spent","JV10_JV534_sp","T24",4e+08,1.34e+09,9.12710479836481,621803827.585518,8.79365339106541,125,2.09691001300806,516.692640692641,2.71323227588795
"47","Phen_Ec","trial_4","spent","JV10_JV537_sp","T24",199,199,2.29885307640971,0,-Inf,4.73809523809524e-05,-4.32439621398819,7.0915700965701e-05,-4.14925759996712
"48","Phen_Ec","trial_4","spent","JV10_JV540_sp","T24",2.8e+07,33200000,7.52113808370404,6053098.38016862,6.78197773249791,10,1,12.6456140350877,1.10193992229852
"49","Phen_Ec","trial_5","control","JV10_LB","T0",2800000,3120000,6.49415459401844,307245.829914744,5.48748599714903,NA,NA,NA,NA
"50","Phen_Ec","trial_5","spent","JV10_ss","T0",3e+06,3200000,6.50514997831991,309838.667696593,5.49113561651978,NA,NA,NA,NA
"51","Phen_Ec","trial_5","spent","JV10_JV531_sp","T0",2e+06,3080000,6.48855071650044,520000,5.7160033436348,NA,NA,NA,NA
"52","Phen_Ec","trial_5","spent","JV10_JV534_sp","T0",4e+06,3200000,6.50514997831991,404969.134626332,5.60742192402385,NA,NA,NA,NA
"53","Phen_Ec","trial_5","spent","JV10_JV537_sp","T0",2600000,3040000,6.48287358360875,440000,5.64345267648619,NA,NA,NA,NA
"54","Phen_Ec","trial_5","spent","JV10_JV540_sp","T0",3e+06,2920000,6.46538285144842,287054.001888146,5.45796360584856,NA,NA,NA,NA
"55","Phen_Ec","trial_5","control","JV10_LB","T24",6.8e+09,6.6e+09,9.81954393554187,687022561.492707,8.83697099931704,2428.57142857143,3.38535088136402,2132.6042378674,3.32891026789313
"56","Phen_Ec","trial_5","spent","JV10_ss","T24",4.6e+07,477200000,8.6787004349983,121308862.001092,8.08389252862905,15.3333333333333,1.18563657696191,159.489133089133,2.20273109742328
"57","Phen_Ec","trial_5","spent","JV10_JV531_sp","T24",1.04e+09,6.6e+08,8.81954393554187,101980390.271856,8.00851666964939,520,2.7160033436348,245.97619047619,2.39089307114711
"58","Phen_Ec","trial_5","spent","JV10_JV534_sp","T24",9.2e+08,1.34e+09,9.12710479836481,621803827.585518,8.79365339106541,230,2.36172783601759,516.692640692641,2.71323227588795
"59","Phen_Ec","trial_5","spent","JV10_JV537_sp","T24",199,199,2.29885307640971,0,-Inf,7.65384615384615e-05,-4.11612027156111,7.0915700965701e-05,-4.14925759996712
"60","Phen_Ec","trial_5","spent","JV10_JV540_sp","T24",3.2e+07,33200000,7.52113808370404,6053098.38016862,6.78197773249791,10.6666666666667,1.02802872360024,12.6456140350877,1.10193992229852
"61","DTT","trial_1","control","LB","T0",2e+06,2950000,6.46982201597816,340342.964277702,5.53191677710323,NA,NA,NA,NA
"62","DTT","trial_1","control","LB_DTT_50","T0",2200000,2950000,6.46982201597816,377491.721763537,5.57690743217226,NA,NA,NA,NA
"63","DTT","trial_1","control","LB_DTT_5","T0",2200000,2900000,6.46239799789896,310912.63510296,5.49263837158965,NA,NA,NA,NA
