"","strain","condition","OD","mean_absorb"
"169","JV369","exp","OD500",0.077
"170","JV370","exp","OD500",0.0575
"171","JV371","exp","OD500",0.0565
"172","JV372","exp","OD500",0.071
"173","JV373","exp","OD500",0.056
"174","JV374","exp","OD500",0.0975
"175","JV375","exp","OD500",0.0785
"176","JV376","exp","OD500",0.017
"177","JV377","exp","OD500",0.074
"178","JV378","exp","OD500",0.097
"179","JV379","exp","OD500",0.1435
"180","JV380","exp","OD500",0.077
"181","JV381","exp","OD500",0.0385
"182","JV382","exp","OD500",0.072
"183","JV384","exp","OD500",0.0445
"184","JV391","exp","OD500",0.0805
"185","JV392","exp","OD500",0.066
"186","JV393","exp","OD500",0.149
"187","JV394","exp","OD500",0.0095
"188","JV395","exp","OD500",0.009
"189","JV415","exp","OD500",0.068
"190","JV416","exp","OD500",0.113
"191","JV417","exp","OD500",0.0135
"192","JV418","exp","OD500",0.003
"193","JV419","exp","OD500",0.071
"194","JV420","exp","OD500",0.025
"195","JV421","exp","OD500",0.044
"196","JV422","exp","OD500",0.0875
"197","JV423","exp","OD500",0.0275
"198","JV424","exp","OD500",0.5575
"199","JV450","pos_ctl","OD695",0.0676875
"200","JV462","neg_ctl","OD695",0.0035
"201","JV15","exp","OD695",0.00566666666666667
"202","JV16","exp","OD695",0.0593333333333333
"203","JV17","exp","OD695",0.031
"204","JV18","exp","OD695",0.009
"205","JV19","exp","OD695",0.007
"206","JV20","exp","OD695",0.0256666666666667
"207","JV21","exp","OD695",0.0166666666666667
"208","JV22","exp","OD695",0.007
"209","JV23","exp","OD695",0.00466666666666667
"210","JV24","exp","OD695",0.105666666666667
"211","JV26","exp","OD695",0.00833333333333333
"212","JV27","exp","OD695",0.00333333333333333
"213","JV28","exp","OD695",0.043
"214","JV29","exp","OD695",0.041
"215","JV30","exp","OD695",0.0456666666666667
"216","JV31","exp","OD695",0.028
"217","JV32","exp","OD695",0.018
"218","JV33","exp","OD695",0.00733333333333333
"219","JV34","exp","OD695",0.0483333333333333
"220","JV35","exp","OD695",0.103
"221","JV36","exp","OD695",0.00433333333333333
"222","JV38","exp","OD695",0.003
"223","JV39","exp","OD695",0.0028
"224","JV40","exp","OD695",0.107666666666667
"225","JV41","exp","OD695",0.009
"226","JV42","exp","OD695",0.009
"227","JV43","exp","OD695",0.01
"228","JV44","exp","OD695",0.007
"229","JV45","exp","OD695",0.00766666666666667
"230","JV46","exp","OD695",0.084
"231","JV47","exp","OD695",0.007
"232","JV48","exp","OD695",0.037
"233","JV49","exp","OD695",0.0723333333333333
"234","JV50","exp","OD695",0.00466666666666667
"235","JV51","exp","OD695",0.0133333333333333
"236","JV52","exp","OD695",0.0156666666666667
"237","JV53","exp","OD695",0.0393333333333333
"238","JV55","exp","OD695",0.0613333333333333
"239","JV56","exp","OD695",0.00666666666666667
"240","JV57","exp","OD695",0.0323333333333333
"241","JV58","exp","OD695",0.00366666666666667
"242","JV59","exp","OD695",0.012
"243","JV60","exp","OD695",0.0576666666666667
"244","JV61","exp","OD695",0.0256666666666667
"245","JV62","exp","OD695",0.0646666666666667
"246","JV63","exp","OD695",0.0496666666666667
"247","JV64","exp","OD695",0.002
"248","JV65","exp","OD695",0.0263333333333333
"249","JV66","exp","OD695",0.044
"250","JV67","exp","OD695",0.041
"251","JV68","exp","OD695",0.0586666666666667
"252","JV69","exp","OD695",0.014
"253","JV70","exp","OD695",0.00133333333333333
"254","JV71","exp","OD695",0.1088
"255","JV73","exp","OD695",0.0243333333333333
"256","JV193","exp","OD695",0.0146666666666667
"257","JV194","exp","OD695",0.027
"258","JV195","exp","OD695",0.041
"259","JV196","exp","OD695",0.00166666666666667
"260","JV197","exp","OD695",0.00533333333333333
"261","JV198","exp","OD695",0.007
"262","JV199","exp","OD695",0.007
"263","JV200","exp","OD695",0.011
"264","JV201","exp","OD695",0.044
"265","JV202","exp","OD695",0.006
"266","JV203","exp","OD695",0.033
"267","JV204","exp","OD695",0.023
"268","JV257","exp","OD695",0.0353333333333333
"269","JV258","exp","OD695",0.00566666666666667
"270","JV259","exp","OD695",0.0146666666666667
"271","JV260","exp","OD695",0.00433333333333333
"272","JV261","exp","OD695",0.0506666666666667
"273","JV262","exp","OD695",0.002
"274","JV263","exp","OD695",0.00433333333333333
"275","JV264","exp","OD695",0.044
"276","JV265","exp","OD695",0.137666666666667
"277","JV266","exp","OD695",0.0416666666666667
"278","JV267","exp","OD695",0.00833333333333333
"279","JV268","exp","OD695",0.110666666666667
"280","JV269","exp","OD695",0.0156666666666667
"281","JV270","exp","OD695",0.0103333333333333
"282","JV271","exp","OD695",0.0246666666666667
"283","JV272","exp","OD695",0.002
"284","JV273","exp","OD695",0.102666666666667
"285","JV274","exp","OD695",0.02
"286","JV275","exp","OD695",0.017
"287","JV276","exp","OD695",0.024
"288","JV287","exp","OD695",0.0443333333333333
"289","JV288","exp","OD695",0.0116666666666667
"290","JV289","exp","OD695",0.0196666666666667
"291","JV290","exp","OD695",0.019
"292","JV291","exp","OD695",0.003
"293","JV292","exp","OD695",0.007
"294","JV294","exp","OD695",0.0156666666666667
"295","JV296","exp","OD695",0.00333333333333333
"296","JV297","exp","OD695",0.00333333333333333
"297","JV298","exp","OD695",0.00666666666666667
"298","JV299","exp","OD695",0.0822
"299","JV301","exp","OD695",0.01
"300","JV302","exp","OD695",0.0516666666666667
"301","JV303","exp","OD695",0.0186666666666667
"302","JV304","exp","OD695",0.0343333333333333
"303","JV305","exp","OD695",0.0246666666666667
"304","JV306","exp","OD695",0.0823333333333333
"305","JV307","exp","OD695",0.051
"306","JV308","exp","OD695",0.00433333333333333
"307","JV309","exp","OD695",0.022
"308","JV310","exp","OD695",0.00233333333333333
"309","JV311","exp","OD695",0.002
"310","JV312","exp","OD695",0.0743333333333333
"311","JV313","exp","OD695",0.003
"312","JV314","exp","OD695",0.005
"313","JV315","exp","OD695",0.0526666666666667
"314","JV316","exp","OD695",0.038
"315","JV317","exp","OD695",0.031
"316","JV318","exp","OD695",0.036
"317","JV319","exp","OD695",0.0103333333333333
"318","JV320","exp","OD695",0.00566666666666667
"319","JV321","exp","OD695",0.1256
"320","JV322","exp","OD695",0.129
"321","JV323","exp","OD695",0.000666666666666667
"322","JV324","exp","OD695",0.0113333333333333
"323","JV325","exp","OD695",0.026
"324","JV326","exp","OD695",0.0193333333333333
"325","JV327","exp","OD695",0.00366666666666667
"326","JV328","exp","OD695",0.011
"327","JV329","exp","OD695",0.00766666666666667
"328","JV330","exp","OD695",0.00733333333333333
"329","JV331","exp","OD695",0.053
"330","JV332","exp","OD695",0.072
"331","JV333","exp","OD695",0.0443333333333333
"332","JV334","exp","OD695",0.012
"333","JV335","exp","OD695",0.0526666666666667
"334","JV336","exp","OD695",0.102666666666667
"335","JV337","exp","OD695",0.0516666666666667
"336","JV340","exp","OD695",0.024
"337","JV341","exp","OD695",0.0536666666666667
"338","JV342","exp","OD695",0.027
"339","JV343","exp","OD695",0.017
"340","JV344","exp","OD695",0.0153333333333333
"341","JV345","exp","OD695",0.0386666666666667
"342","JV346","exp","OD695",0.0246666666666667
"343","JV347","exp","OD695",0.02
"344","JV348","exp","OD695",0.00166666666666667
"345","JV349","exp","OD695",0.005
"346","JV350","exp","OD695",0.0386666666666667
"347","JV351","exp","OD695",0.00866666666666667
"348","JV352","exp","OD695",0.00566666666666667
"349","JV353","exp","OD695",0.0363333333333333
"350","JV354","exp","OD695",0.0253333333333333
"351","JV355","exp","OD695",0.041
"352","JV356","exp","OD695",0.00766666666666667
"353","JV357","exp","OD695",0.0973333333333333
"354","JV358","exp","OD695",0.0206666666666667
"355","JV359","exp","OD695",0.025
"356","JV360","exp","OD695",0.029
"357","JV361","exp","OD695",0.023
"358","JV362","exp","OD695",0.0216666666666667
"359","JV363","exp","OD695",0.00533333333333333
"360","JV364","exp","OD695",0.0216666666666667
"361","JV365","exp","OD695",0.0266666666666667
"362","JV366","exp","OD695",0.0513333333333333
"363","JV367","exp","OD695",0.00566666666666667
"364","JV368","exp","OD695",0.0253333333333333
"365","JV369","exp","OD695",0.0466666666666667
"366","JV370","exp","OD695",0.023
"367","JV371","exp","OD695",0.008
"368","JV372","exp","OD695",0.0283333333333333
"369","JV373","exp","OD695",0.028
"370","JV374","exp","OD695",0.03
"371","JV375","exp","OD695",0.0286666666666667
"372","JV376","exp","OD695",0.016
"373","JV377","exp","OD695",0.048
"374","JV378","exp","OD695",0.0656666666666667
"375","JV379","exp","OD695",0.051
"376","JV380","exp","OD695",0.00433333333333333
"377","JV381","exp","OD695",0.008
"378","JV382","exp","OD695",0.00366666666666667
"379","JV384","exp","OD695",0.016
"380","JV391","exp","OD695",0.0403333333333333
"381","JV392","exp","OD695",0.007
"382","JV393","exp","OD695",0.06
"383","JV394","exp","OD695",0.000666666666666667
"384","JV395","exp","OD695",0.000666666666666667
"385","JV415","exp","OD695",0.00833333333333333
"386","JV416","exp","OD695",0.055
"387","JV417","exp","OD695",0.000333333333333333
"388","JV418","exp","OD695",0.001
"389","JV419","exp","OD695",0.0303333333333333
"390","JV420","exp","OD695",0.0186666666666667
"391","JV421","exp","OD695",0.00666666666666667
"392","JV422","exp","OD695",0.0223333333333333
"393","JV423","exp","OD695",0.006
"394","JV424","exp","OD695",0.108666666666667
